date,category,carrier,carrier2,issuer,card_name,tel,fee,spend_tier,type,discount,disc_type,apply_url,note
2026-08-17,렌탈,SK매직,,KB국민,KB국민 SK인텔릭스 올림카드,1644-8466,"국내전용 12,000원 / 국내외겸용(MasterCard) 15,000원",100,기본,20000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04418,
2026-08-17,렌탈,SK매직,,KB국민,KB국민 SK인텔릭스 올림카드,1644-8466,"국내전용 12,000원 / 국내외겸용(MasterCard) 15,000원",70,기본,15000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04418,
2026-08-17,렌탈,SK매직,,KB국민,KB국민 SK인텔릭스 올림카드,1644-8466,"국내전용 12,000원 / 국내외겸용(MasterCard) 15,000원",30,기본,11000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04418,
2026-08-17,렌탈,SK매직,,KB국민,KB국민 SK인텔릭스 올림카드,1644-8466,"국내전용 12,000원 / 국내외겸용(MasterCard) 15,000원",30,프로모션,22000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04418,
2026-08-17,렌탈,SK매직,,하나,SK인텔릭스 플러스 하나카드,1599-4284,"국내전용 25,000원 / 해외겸용(MasterCard) 25,000원",150,기본,25000,청구할인,https://m.site.naver.com/1hHuW,
2026-08-17,렌탈,SK매직,,하나,SK인텔릭스 플러스 하나카드,1599-4284,"국내전용 25,000원 / 해외겸용(MasterCard) 25,000원",100,기본,18000,청구할인,https://m.site.naver.com/1hHuW,
2026-08-17,렌탈,SK매직,,하나,SK인텔릭스 플러스 하나카드,1599-4284,"국내전용 25,000원 / 해외겸용(MasterCard) 25,000원",30,기본,13000,청구할인,https://m.site.naver.com/1hHuW,
2026-08-17,렌탈,SK매직,,우리,SK인텔릭스 우리카드,1800-4135,"국내전용 15,000원 / 해외겸용(MasterCard) 15,000원",120,기본,20000,청구할인,https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?recomNo=102859,
2026-08-17,렌탈,SK매직,,우리,SK인텔릭스 우리카드,1800-4135,"국내전용 15,000원 / 해외겸용(MasterCard) 15,000원",70,기본,15000,청구할인,https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?recomNo=102859,
2026-08-17,렌탈,SK매직,,우리,SK인텔릭스 우리카드,1800-4135,"국내전용 15,000원 / 해외겸용(MasterCard) 15,000원",30,기본,10000,청구할인,https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?recomNo=102859,
2026-08-17,렌탈,SK매직,,우리,SK인텔릭스 우리카드,1800-4135,"국내전용 15,000원 / 해외겸용(MasterCard) 15,000원",30,프로모션,22000,청구할인,https://m.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?recomNo=102859,
2026-08-17,렌탈,SK매직,,신한,SK인텔릭스 신한카드,1661-8599,"국내전용 25,000원 / 국내외겸용(MasterCard) 28,000원",150,기본,25000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1236413_2207.html?empSeq=501&btnApp=dp01 ,
2026-08-17,렌탈,SK매직,,신한,SK인텔릭스 신한카드,1661-8599,"국내전용 25,000원 / 국내외겸용(MasterCard) 28,000원",70,기본,15000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1236413_2207.html?empSeq=501&btnApp=dp01 ,
2026-08-17,렌탈,SK매직,,신한,SK인텔릭스 신한카드,1661-8599,"국내전용 25,000원 / 국내외겸용(MasterCard) 28,000원",30,기본,12000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1236413_2207.html?empSeq=501&btnApp=dp01 ,
2026-08-17,렌탈,SK매직,,신한,SK인텔릭스 신한카드,1661-8599,"국내전용 25,000원 / 국내외겸용(MasterCard) 28,000원",30,프로모션,15000,청구할인,https://www.shinhancard.com/pconts/html/card/apply/credit/1236413_2207.html?empSeq=501&btnApp=dp01 ,
2026-08-17,렌탈,SK매직,,현대,SK인텔릭스 현대카드,1670-0445,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",120,기본,16000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SKIHC&eventCode=SKI0N#cardDetailHash,
2026-08-17,렌탈,SK매직,,현대,SK인텔릭스 현대카드,1670-0445,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",80,기본,12000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SKIHC&eventCode=SKI0N#cardDetailHash,
2026-08-17,렌탈,SK매직,,현대,SK인텔릭스 현대카드,1670-0445,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",40,기본,8000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SKIHC&eventCode=SKI0N#cardDetailHash,
2026-08-17,렌탈,SK매직,,현대,SK인텔릭스 현대카드,1670-0445,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",40,프로모션,10000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=SKIHC&eventCode=SKI0N#cardDetailHash,
2026-08-17,렌탈,쿠쿠,,삼성,쿠쿠 삼성카드,1588-9260,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",120,기본,13000,청구할인,https://www.samsungcard.com/home/card/apply/PGHPPCPCardApplyNewGeneral001?bgdAlncPdC=AAP1795&alncmpC=QNCUCKOO&affcode=QISKMAGI40&webViewFirstPage=true,
2026-08-17,렌탈,쿠쿠,,삼성,쿠쿠 삼성카드,1588-9260,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",70,기본,10000,청구할인,https://www.samsungcard.com/home/card/apply/PGHPPCPCardApplyNewGeneral001?bgdAlncPdC=AAP1795&alncmpC=QNCUCKOO&affcode=QISKMAGI40&webViewFirstPage=true,
2026-08-17,렌탈,쿠쿠,,삼성,쿠쿠 삼성카드,1588-9260,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",30,기본,7000,청구할인,https://www.samsungcard.com/home/card/apply/PGHPPCPCardApplyNewGeneral001?bgdAlncPdC=AAP1795&alncmpC=QNCUCKOO&affcode=QISKMAGI40&webViewFirstPage=true,
2026-08-17,렌탈,쿠쿠,,삼성,쿠쿠 삼성카드,1588-9260,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",30,프로모션,20000,청구할인,https://www.samsungcard.com/home/card/apply/PGHPPCPCardApplyNewGeneral001?bgdAlncPdC=AAP1795&alncmpC=QNCUCKOO&affcode=QISKMAGI40&webViewFirstPage=true,
2026-08-17,렌탈,쿠쿠,,하나,쿠쿠 하나카드,1800-1316,"국내외 겸용 12,000원",30,기본,13000,청구할인,https://m.hanacard.co.kr/MKCDCM1000M.web?CD_PD_SEQ=6801,
2026-08-17,렌탈,쿠쿠,,우리,쿠쿠 우리카드,1800-4138,"Master 15,000원 / BC Global 15,000원",120,기본,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102857,
2026-08-17,렌탈,쿠쿠,,우리,쿠쿠 우리카드,1800-4138,"Master 15,000원 / BC Global 15,000원",70,기본,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102857,
2026-08-17,렌탈,쿠쿠,,우리,쿠쿠 우리카드,1800-4138,"Master 15,000원 / BC Global 15,000원",30,기본,10000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102857,
2026-08-17,렌탈,쿠쿠,,우리,쿠쿠 우리카드,1800-4138,"Master 15,000원 / BC Global 15,000원",30,프로모션,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102857,
2026-08-17,렌탈,쿠쿠,,KB국민,쿠쿠 렌탈II 국민카드,1670-8440,"국내&국내외 겸용(K-World(JCB), Master) 15,000원",70,기본,17000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04325,
2026-08-17,렌탈,쿠쿠,,KB국민,쿠쿠 렌탈II 국민카드,1670-8440,"국내&국내외 겸용(K-World(JCB), Master) 15,000원",30,기본,12000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04325,
2026-08-17,렌탈,쿠쿠,,KB국민,쿠쿠 렌탈II 국민카드,1670-8440,"국내&국내외 겸용(K-World(JCB), Master) 15,000원",30,프로모션,20000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04325,
2026-08-17,렌탈,쿠쿠,,신한,쿠쿠 신한카드,1833-4303,"국내전용 27,000원 / 국내외겸용(VISA) 30,000원",150,기본,30000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3563&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,쿠쿠,,신한,쿠쿠 신한카드,1833-4303,"국내전용 27,000원 / 국내외겸용(VISA) 30,000원",70,기본,17000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3563&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,쿠쿠,,신한,쿠쿠 신한카드,1833-4303,"국내전용 27,000원 / 국내외겸용(VISA) 30,000원",30,기본,13000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3563&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,쿠쿠,,신한,쿠쿠 신한카드,1833-4303,"국내전용 27,000원 / 국내외겸용(VISA) 30,000원",30,프로모션,15000,청구할인,https://cardapply.shinhancard.com/apply/CardInfoSelect?EntryLoc=3563&empSeq=0&targetID=&datakey=&agcCd=,
2026-08-17,렌탈,쿠쿠,,현대,쿠쿠 현대카드,1670-0446,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",120,기본,16000,청구할인,https://www.hyundaicard.com/cpc/ca/CPCCA0101_01.hc?cardWcd=CCKHC&eventCode=CCK0C,
2026-08-17,렌탈,쿠쿠,,현대,쿠쿠 현대카드,1670-0446,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",80,기본,12000,청구할인,https://www.hyundaicard.com/cpc/ca/CPCCA0101_01.hc?cardWcd=CCKHC&eventCode=CCK0C,
2026-08-17,렌탈,쿠쿠,,현대,쿠쿠 현대카드,1670-0446,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",40,기본,8000,청구할인,https://www.hyundaicard.com/cpc/ca/CPCCA0101_01.hc?cardWcd=CCKHC&eventCode=CCK0C,
2026-08-17,렌탈,쿠쿠,,현대,쿠쿠 현대카드,1670-0446,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",40,프로모션,10000,청구할인,https://www.hyundaicard.com/cpc/ca/CPCCA0101_01.hc?cardWcd=CCKHC&eventCode=CCK0C,
2026-08-17,렌탈,LG전자,,하나,LG전자 플러스 하나카드,1800-1264,"국내전용 / 해외 23,000원",100,기본,20000,청구할인,http://m.site.naver.com/1aXT7,
2026-08-17,렌탈,LG전자,,하나,LG전자 플러스 하나카드,1800-1264,"국내전용 / 해외 23,000원",70,기본,17000,청구할인,http://m.site.naver.com/1aXT7,
2026-08-17,렌탈,LG전자,,하나,LG전자 플러스 하나카드,1800-1264,"국내전용 / 해외 23,000원",30,기본,13000,청구할인,http://m.site.naver.com/1aXT7,
2026-08-17,렌탈,LG전자,,,광주은행 LG전자 베스트케어카드,1544-3109,"국내전용 14,000원 / 해외 15,000원",100,기본,20000,청구할인,,
2026-08-17,렌탈,LG전자,,,광주은행 LG전자 베스트케어카드,1544-3109,"국내전용 14,000원 / 해외 15,000원",30,기본,8000,청구할인,,
2026-08-17,렌탈,LG전자,,우리,LG전자 우리카드,1800-4137,"국내전용 15,000원 / Master 15,000원",120,기본,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102535,
2026-08-17,렌탈,LG전자,,우리,LG전자 우리카드,1800-4137,"국내전용 15,000원 / Master 15,000원",70,기본,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102535,
2026-08-17,렌탈,LG전자,,우리,LG전자 우리카드,1800-4137,"국내전용 15,000원 / Master 15,000원",30,기본,10000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102535,
2026-08-17,렌탈,LG전자,,우리,LG전자 우리카드,1800-4137,"국내전용 15,000원 / Master 15,000원",30,프로모션,18000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=102535,
2026-08-17,렌탈,LG전자,,신한,The 구독케어 신한카드,080-850-0117,"국내/외 25,000원",130,기본,30000,청구할인,,
2026-08-17,렌탈,LG전자,,신한,The 구독케어 신한카드,080-850-0117,"국내/외 25,000원",70,기본,26000,청구할인,,
2026-08-17,렌탈,LG전자,,신한,The 구독케어 신한카드,080-850-0117,"국내/외 25,000원",30,기본,13000,청구할인,,
2026-08-17,렌탈,LG전자,,신한,The 구독케어 신한카드,080-850-0117,"국내/외 25,000원",30,프로모션,17000,청구할인,,
2026-08-17,렌탈,LG전자,,KB국민,LG전자 KB국민카드,1644-8639,"JCB 15,000원 / Master 15,000원",80,기본,15000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04425,
2026-08-17,렌탈,LG전자,,KB국민,LG전자 KB국민카드,1644-8639,"JCB 15,000원 / Master 15,000원",30,기본,10000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04425,
2026-08-17,렌탈,LG전자,,KB국민,LG전자 KB국민카드,1644-8639,"JCB 15,000원 / Master 15,000원",30,프로모션,20000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04425,
2026-08-17,렌탈,LG전자,,NH농협,NH올원 LG전자 BEST카드,1644-2866,"국내전용 15,000원 / Master 17,000원",100,기본,20000,청구할인,,
2026-08-17,렌탈,LG전자,,NH농협,NH올원 LG전자 BEST카드,1644-2866,"국내전용 15,000원 / Master 17,000원",60,기본,15000,청구할인,,
2026-08-17,렌탈,LG전자,,NH농협,NH올원 LG전자 BEST카드,1644-2866,"국내전용 15,000원 / Master 17,000원",30,기본,10000,청구할인,,
2026-08-17,렌탈,LG전자,,,전북은행 LG전자 베스트케어카드,1588-2331,"국내전용 14,000원 / 해외 15,000원",100,기본,20000,청구할인,,
2026-08-17,렌탈,LG전자,,,전북은행 LG전자 베스트케어카드,1588-2331,"국내전용 14,000원 / 해외 15,000원",30,기본,8000,청구할인,,
2026-08-17,렌탈,LG전자,,우리,LG전자 Platinum 우리카드,1800-4137,"국내전용 25,000원 / Master 25,000원",200,기본,40000,청구할인,,
2026-08-17,렌탈,LG전자,,우리,LG전자 Platinum 우리카드,1800-4137,"국내전용 25,000원 / Master 25,000원",150,기본,34000,청구할인,,
2026-08-17,렌탈,LG전자,,우리,LG전자 Platinum 우리카드,1800-4137,"국내전용 25,000원 / Master 25,000원",100,기본,29000,청구할인,,
2026-08-17,렌탈,LG전자,,우리,LG전자 Platinum 우리카드,1800-4137,"국내전용 25,000원 / Master 25,000원",100,프로모션,35000,청구할인,,
2026-08-17,렌탈,LG전자,,현대,LG 전자 현대카드,1670-0442,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",120,기본,16000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=LGEHC&eventCode=LGR03#cardDetailHash,
2026-08-17,렌탈,LG전자,,현대,LG 전자 현대카드,1670-0442,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",80,기본,12000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=LGEHC&eventCode=LGR03#cardDetailHash,
2026-08-17,렌탈,LG전자,,현대,LG 전자 현대카드,1670-0442,"국내전용 20,000원 / 국내외겸용(MasterCard) 20,000원",40,기본,8000,청구할인,https://www.hyundaicard.com/cpc/cr/CPCCR0201_01.hc?cardWcd=LGEHC&eventCode=LGR03#cardDetailHash,
2026-08-17,렌탈,청호나이스,,하나,청호 플러스 하나카드,1800-1312,"해외겸용 (12,000원)",30,기본,13000,청구할인,https://m.hanacard.co.kr/MKCDCM1000M.web?CD_PD_SEQ=6799,
2026-08-17,렌탈,청호나이스,,우리,청호 우리카드II,1800-4253,"국내 15,000원, 해외겸용 15,000원(MASTER)",120,기본,20000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103725,
2026-08-17,렌탈,청호나이스,,우리,청호 우리카드II,1800-4253,"국내 15,000원, 해외겸용 15,000원(MASTER)",70,기본,15000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103725,
2026-08-17,렌탈,청호나이스,,우리,청호 우리카드II,1800-4253,"국내 15,000원, 해외겸용 15,000원(MASTER)",30,기본,10000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103725,
2026-08-17,렌탈,청호나이스,,우리,청호 우리카드II,1800-4253,"국내 15,000원, 해외겸용 15,000원(MASTER)",30,프로모션,18000,청구할인,https://nm.wooricard.com/dcmw/yh1/crd/crd01/M1CRD101S02.do?cdPrdCd=103725,
2026-08-17,렌탈,청호나이스,,KB국민,청호 KB국민카드Ⅱ,1644-8466,"국내/국내외(JCB/Master) 15,000원",70,기본,17000,청구할인,https://m.kbcard.com/CRD/DVIEW/MCAMCXHIACRC0002?mainCC=b&allianceCode=04336&solicitorcode=7024336000,
