date,category,key,card_name,fee,기본_30만,기본_40만,기본_50만,기본_60만,기본_70만,기본_80만,기본_100만,기본_120만,기본_150만,기본_200만,프로모_30만,프로모_40만,프로모_50만,프로모_60만,프로모_70만,프로모_80만,프로모_100만,프로모_120만,프로모_150만,프로모_200만
2026-08-21,렌탈,세스코,세스코 삼성카드,"국내전용 15,000원 / 해외겸용(VISA) 15,000원",15000,15000,15000,15000,18000,18000,18000,21000,21000,21000,,,,,,,,,,
2026-08-21,렌탈,BS렌탈,BS ON 플러스 하나카드,"국내외겸용 15,000 ~ 20,000원",13000,13000,13000,13000,13000,13000,13000,23000,23000,23000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000
2026-08-21,렌탈,이니렌탈,렌탈플러스 하나카드,"국내외겸용 18,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-21,렌탈,렌타나,렌탈 플러스 하나카드,"국내외겸용 18,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-21,렌탈,캐리어,캐리어 신한카드,"국내전용 30,000원 / 국내외겸용 33,000원",13000,13000,13000,13000,17000,17000,17000,17000,30000,30000,16000,16000,16000,16000,16000,16000,16000,16000,16000,16000
2026-08-21,렌탈,캐리어,NEW 렌탈 플러스 하나카드,"국내외겸용 18,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-21,렌탈,스마트렌탈,국민 스마트렌탈 카드,,12000,12000,12000,12000,17000,17000,17000,17000,17000,17000,,,,,,,,,,
2026-08-21,통신,SKB/SK브로드밴드 신한카드,SK브로드밴드 신한카드,"국내 2만 7천 원, 해외겸용(VISA) 3만 원",15000,15000,15000,15000,19000,19000,19000,20000,20000,20000,,,,,,,,,,
2026-08-21,통신,SKB/더 심플 하나카드,더 심플 하나카드,"국내 2만 5천 원, 해외겸용(Master) 2만 5천 원",10000,10000,10000,10000,10000,15000,15000,15000,15000,15000,,,,,,,,,,
2026-08-21,통신,SKB/T나는혜택 삼성카드,T나는혜택 삼성카드,"국내 2만 원, 해외겸용(Master) 2만 원 전월 이용 실적 및 전월 생활요금 정기결제 건수에 따라 할인",7000,7000,7000,7000,10000,10000,10000,13000,13000,13000,10000,10000,10000,10000,13000,13000,13000,16000,16000,16000
2026-08-21,통신,스카이라이프/스카이라이프 신한카드,스카이라이프 신한카드,,15000,15000,15000,15000,16000,16000,16000,20000,20000,20000,,,,,,,,,,
2026-08-21,통신,스카이라이프/KT스카이라이프 KB카드,KT스카이라이프 KB카드,,15000,15000,15000,15000,17000,17000,17000,17000,17000,17000,,,,,,,,,,
2026-08-21,통신,스카이라이프/LOCA x special SE,LOCA x special SE,,15000,15000,15000,15000,17000,17000,17000,17000,25000,25000,,,,,,,,,,
2026-08-21,통신,스카이라이프/스카이라이프 하나카드,스카이라이프 하나카드,,13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-21,통신,스카이라이프/KT 마이알뜰폰 BC 바로카드,KT 마이알뜰폰 BC 바로카드,,12000,12000,12000,12000,17000,17000,17000,17000,17000,17000,,,,,,,,,,
2026-08-21,통신,LG헬로비전/[신규] LG헬로비전 언제나 우리카드,[신규] LG헬로비전 언제나 우리카드,"20,000원",19000,19000,19000,19000,21000,21000,21000,23000,23000,23000,,,,,,,,,,
2026-08-21,통신,LG헬로비전/[국민] KB국민카드 LG헬로비전 II 카드,[국민] KB국민카드 LG헬로비전 II 카드,"20,000원",19000,19000,19000,19000,21000,21000,21000,21000,21000,21000,,,,,,,,,,
2026-08-21,통신,LG헬로비전/[신한] LG헬로비전 신한카드,[신한] LG헬로비전 신한카드,,,19000,19000,19000,19000,20000,20000,20000,20000,20000,,,,,,,,,,
2026-08-21,통신,딜라이브/딜라이브 렌탈 플러스 하나카드,딜라이브 렌탈 플러스 하나카드,"18,000원",13000,13000,13000,13000,13000,13000,13000,13000,13000,13000,,,,,,,,,,
2026-08-21,통신,딜라이브/더 심플 하나카드,더 심플 하나카드,"25,000원",,,,,,15000,15000,15000,15000,15000,,,,,,,,,,
2026-08-21,통신,딜라이브/KB국민 딜라이브 카드,KB국민 딜라이브 카드,"15,000원",,,,,17000,17000,17000,17000,17000,17000,,,,,,,,,,
2026-08-21,통신,유모바일/KB국민 U+유모바일 Ⅱ 카드,KB국민 U+유모바일 Ⅱ 카드,,7000,7000,7000,7000,11000,11000,11000,11000,11000,11000,19000,19000,19000,19000,20000,20000,20000,20000,20000,20000
2026-08-21,통신,유모바일/신한카드 알뜰More(알뜰모아),신한카드 알뜰More(알뜰모아),,,10000,10000,10000,15000,15000,15000,15000,15000,15000,,15000,15000,15000,20000,20000,20000,20000,20000,20000
2026-08-21,통신-할부형,LGU+/LG U+ 스마트플랜Plus 신한카드,LG U+ 스마트플랜Plus 신한카드,,,,,,,,,,,,,,,,,,,,,
2026-08-21,통신,LGU+/LG U+ 현대카드M Edition3(통신할인형2.0),LG U+ 현대카드M Edition3(통신할인형2.0),,,,15000,15000,15000,15000,25000,25000,25000,25000,,,,,,,,,,
2026-08-21,통신,LGU+/LG U+ 삼성카드,LG U+ 삼성카드,,7000,7000,7000,7000,10000,10000,10000,10000,10000,10000,,,,,,,,,,
2026-08-21,통신,LGU+/LG U+ 사장님 통할인 신한카드,LG U+ 사장님 통할인 신한카드,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,,,,,,,,,,
2026-08-21,통신,LGU+/NH올원 LG U+ 카드,NH올원 LG U+ 카드,,,,9000,9000,9000,9000,15000,15000,15000,15000,,,,,,,,,,
